recipient,amount
G7TVjCCKeJogKngR7NwBJZhs1ipky3oP4stS9rEtHTMz,20203151594896
HsGWhcLqVsue45i4vMxku3YEVGF5cYxUSTaa6gwieSGN,161265796277
6XjxbDk9epumcbnsq35NVGytzb5b9aHPodWpNnfUKaC5,19123765525173
EWARp8Syq8cTWGWHtP5LT9fKAn5GvXfSCH8LfAwpgQ6m,180377736388375
AopYZ35QJ3V2dxie66TB8SGcaKNoCyRnn5Jf37WS6KiS,22372841171303
5oZ4GSP4waw2fphYoUgdnChN29sH8nRXbBnP5Qa1TnEy,20305695170345
ECeaWy82CxpeJQr3EG3XNmYXc9NrVeWDH5ag9Lt6TPVR,29117847956576
EBoKqyT2kCabcHXgpF7ScwrHgGUsR821xkTJsHtP2JJi,20253040576073
4ZeGdzfAb8FyyocXDVunniemtuGyPjY43M6pjMQEd2Y8,20184897459109
sirFnPFFHr9b13UcWmKoeVfJfTpS8U1zhEmkn64nmMu,23189997434240
2npYpAQcNWcZo85eB43DnSMyeeVCiks7g65YaWVKp8TX,4959997717120
9ixkRQFUmQfDfJ9sBzJMs8QeBpqz4AeR94n623eaYK2S,20157395979172
4uH4G6YiD5G8rU3mtPg73C2Uqamrqedy3FboTZcZrh6x,220757321200010
LodeuWMHPiPj2PUHUyca2bkpFv9HyzR3gaDBmGJ9TSS,73080321644027
4K8TQcYHjzKyHvReuoPT4pboENga8dYm3SwdgX3UkKVN,20522233735900
8S1VXBgZvCsjgnRAMvxknx5BKT7APb8rFhyRVeeTx1SS,219012102404640
13cm6z7ajighVFYN1aR2hPQ3Rhp4QJenDbHGRmps9P1n,24427436847583
scs1NCSTafrUX6RBx113B9YDCepo1QdEzU8WwEkf25i,53959743239671
8W5yW3AH4GzyJgobuRiSLsz3sU9m1XNumm6rAdxE9qBB,49724580551406
DohaxzeUj6ma9shCykxGxi7FbWnMyW9hzNjwQjZHEDV7,24714241306116
2owZqEAQvSWxKixL1MPtQ5Xivr8hkQBuURvEvJBv9wmU,26417654488340
FnmguM37ximrQQXsJpBjPxem1LSr1CAnaED9JHujAhYW,24348493167803
PAWsME7oYbjt5TRNc11mBa33JhKnQr9AYherdr9YAZ6,270022184698265
HNz9KC2vFPfC7TPmNtzh7nCDWDBYTLpCbmn5QD2UYX9u,23132344910301
SQDS9iwyWvT2mQbSZzuNKGoxuBug5jRHouF6SuMRBkA,98857313420542
GQzMeEMwAR44ugoNCifTb5NdRKos1GduDUPeNh6AgV46,2502395552696824
7LuMjj1j7KjGXBi3TwnNGnXnENK5rjMuLxpcRPVqjsp1,20418329691113
552md3Fn9qESZs6ngeQZkPmmLnYyh18psgDC9TURwbLT,997717122
BmJrvjSqEnXC4wEAAQgscQMUWYjp9yTNW73nzZum4DmG,27582544094155
Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,7230189559936050
FSyAsxcE7g8pSSEu5nx7Hkz44rMZiYio5Wz8Lszh3Nbi,261895391099412
HwN6eoEe9N3kwHi66hpQDBMFPk6ASQGthWKPX5MZmisp,20310882690580
2AKKnirWVZMhnzuwqpizw9SwfZjGpRFLx2zCCNtPWpbc,103092267282131
HwDqYfPnp956giyXf1kGFHkUdj6Uu7UyoPSNn1Ku2j5F,45014628298920
FzaAiLVXh6xXAFCfJNfBVQVYJ884zWz3LZVVmC8iRgdP,206145719886213
UUcsYKGXbrecWLTNn4LK1N21Px1Ra5c3VsFJzAtzZPk,20179087583198
B5YQWFwLbEJzoXjujsaEYhGdpcpoAzz7cvqpXvr6rpSB,27214889493133
AHCGTSrztg5PqxDN1pi59YQbJE4wMHyBrsZ9P6DrTui3,13399163048818
7BTbVD8t98eYH3XV17Azui4cUMLyfvheoJ6w6VtWivfW,30966567923474
6xct3c93fs7s8Dm5j3rVabTDZD7ahtwFDTzydpFTuiEn,119093404784670
8AkVj5aAtJ27tYXeq89cnSf68V43NarFHMx2iSDjZv7c,111777235822527
CgEKzNGbUAvFDGmMLSrqgumjEofTb1GNodzJUujG8DB5,21232007776170
DQCriUSqyokJw5gA7snLqXhscRc1a7wNdgkt2ZsmK7Yd,37969666005343
AfZTWYoFQbzqCMmUBTD7XwxFvjob1FVyCvkaXRryxtKc,110373060423318
2dxz129YxB1xtf7Mx6HUT5JspexArNNtQt84FYueWZV7,71923613232870
TrUtH9WTw1jBVuuExpm3MnC5XF7mW6J3x6oXXA9yX4U,19317962339564
Csgy8jXn6feooV3ztGPhuwCcneWhFFBFCmKZSBwXK7VV,57589300099465
BoLHQL12jP96GP8pt5okyTDRh15k4N8AqXEcNG9ypnqK,20175568193040
2hUq3Ma9FCLm9jtkHbd5V4QdeYLvwEGubHZ1JwfSe49J,90696966963227
DbnMbtAJJeGePLgg1Xy2Bq71amFtLbbVCMdxEywdcSev,20256957450331
